step	0	time	0	temperature	933	cpu_time	0.439
step	805336	time	1.00722e-005	temperature	933	cpu_time	20.256
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	2
1	1
1	1
1	1
1	2
1	3
1	1
1	1
1	2
1	1
1	1
1	1
1	2
1	1
1	2
1	1
1	1
1	1
1	2
1	1
1	2
1	3
1	2
1	2
1	2
1	2
1	1
1	4
1	3
1	1
1	2
1	2
1	3
1	1
1	1
1	1
1	1
1	2
1	6
1	2
1	1
1	5
1	1
1	2
1	3
step	1630818	time	2.0027e-005	temperature	933	cpu_time	39.799
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	1
1	2
1	1
1	1
1	1
1	2
1	2
1	1
1	2
1	1
1	1
1	1
1	2
1	1
1	2
1	1
1	2
1	1
1	2
1	4
1	2
1	4
1	1
1	2
1	3
1	3
1	1
1	4
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	6
1	1
1	2
1	4
1	2
1	2
1	1
1	1
1	2
1	1
1	6
1	8
1	1
1	1
1	2
1	3
1	2
1	2
1	2
1	1
1	3
1	3
1	5
1	6
1	2
1	1
1	4
1	5
1	2
1	4
1	3
1	4
1	3
1	3
1	2
1	1
1	2
1	1
1	8
step	2604762	time	3.00477e-005	temperature	933	cpu_time	63.603
1	1
1	1
1	1
1	2
1	2
1	2
1	1
1	1
1	1
1	1
1	2
1	4
1	4
1	1
1	3
1	3
1	1
1	4
1	1
1	1
1	1
1	1
1	1
1	2
1	6
1	1
1	2
1	1
1	1
1	1
1	2
1	1
1	3
1	5
1	1
1	4
1	2
1	4
1	2
1	1
1	1
1	4
1	2
1	2
1	9
1	3
1	4
1	4
1	2
1	1
1	1
1	2
1	2
1	4
1	2
1	1
1	1
1	3
1	1
1	1
1	4
1	4
1	7
1	5
1	1
1	1
1	6
1	7
1	3
1	4
1	3
1	4
1	1
1	3
1	6
1	1
1	3
1	8
1	1
1	4
1	3
1	1
1	5
1	4
1	3
1	1
1	3
1	2
1	2
1	5
1	2
1	2
2	11
1	6
1	1
2	10
1	5
step	3309011	time	4.0059e-005	temperature	933	cpu_time	84.046
1	1
1	1
1	1
1	1
1	2
1	4
1	1
1	3
1	3
1	1
1	4
1	1
1	1
1	1
1	1
1	2
1	1
1	2
1	1
1	4
1	4
1	2
1	1
1	1
1	4
1	2
1	3
1	2
1	1
1	1
1	2
1	4
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	4
1	3
1	1
1	1
1	3
1	2
1	2
1	2
1	1
1	2
1	9
1	5
1	2
2	10
1	3
1	8
1	5
1	2
1	5
1	7
3	14
1	2
1	3
1	1
1	5
1	6
1	4
1	5
1	6
1	5
1	2
1	2
1	2
1	7
1	5
1	7
1	7
1	8
1	4
1	8
1	2
1	6
1	3
1	3
1	1
2	11
2	10
1	1
1	5
1	7
1	6
1	5
1	2
1	9
1	6
1	3
1	5
1	4
2	11
1	3
step	4120984	time	5.0004e-005	temperature	933	cpu_time	103.137
1	1
1	1
1	3
1	1
1	1
1	1
1	2
1	4
1	2
1	1
1	2
1	3
1	2
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	4
1	3
1	1
1	3
