5.95e-07	272	10609
5.975e-07	274	10667
6e-07	276	10721
6.025e-07	277	10781
6.05e-07	277	10831
6.075e-07	272	10886
6.1e-07	284	10940
6.125e-07	278	10990
6.15e-07	278	11043
6.175e-07	281	11100
6.2e-07	283	11158
6.225e-07	283	11228
6.25e-07	281	11295
6.275e-07	285	11348
6.3e-07	286	11403
6.325e-07	289	11469
6.35e-07	285	11524
6.375e-07	289	11590
6.4e-07	286	11655
6.425e-07	286	11713
6.45e-07	287	11776
6.475e-07	282	11824
6.5e-07	286	11880
6.525e-07	285	11938
6.55e-07	284	11990
6.575e-07	282	12045
6.6e-07	286	12099
6.625e-07	283	12154
6.65e-07	284	12221
6.675e-07	283	12295
6.7e-07	278	12352
6.725e-07	278	12401
6.75e-07	278	12447
6.775e-07	286	12512
6.8e-07	282	12570
6.825e-07	281	12616
6.85e-07	281	12668
6.875e-07	280	12718
6.9e-07	283	12771
6.925e-07	279	12830
6.95e-07	274	12885
6.975e-07	274	12936
7e-07	281	12986
7.025e-07	285	13049
7.05e-07	285	13109
7.075e-07	286	13168
7.1e-07	286	13228
7.125e-07	289	13290
7.15e-07	280	13339
7.175e-07	288	13408
7.2e-07	284	13465
7.225e-07	284	13510
7.25e-07	288	13567
7.275e-07	284	13618
7.3e-07	282	13667
7.325e-07	280	13722
7.35e-07	285	13792
7.375e-07	281	13836
7.4e-07	285	13911
7.425e-07	291	13968
7.45e-07	291	14032
7.475e-07	286	14074
7.5e-07	285	14129
7.525e-07	294	14200
7.55e-07	287	14259
7.575e-07	285	14302
7.6e-07	284	14348
7.625e-07	287	14410
7.65e-07	289	14473
7.675e-07	288	14537
7.7e-07	287	14589
7.725e-07	291	14651
7.75e-07	291	14696
7.775e-07	292	14755
7.8e-07	302	14819
7.825e-07	289	14870
7.85e-07	293	14936
7.875e-07	286	14984
7.9e-07	293	15043
7.925e-07	297	15099
7.95e-07	294	15156
7.975e-07	294	15211
8e-07	297	15267
8.025e-07	290	15319
8.05e-07	296	15372
8.075e-07	299	15437
8.1e-07	298	15482
8.125e-07	290	15527
8.15e-07	292	15578
8.175e-07	299	15628
8.2e-07	306	15687
8.225e-07	298	15752
8.25e-07	297	15830
8.275e-07	292	15885
8.3e-07	298	15945
8.325e-07	297	16009
8.35e-07	296	16065
8.375e-07	300	16120
8.4e-07	305	16173
8.425e-07	307	16242
8.45e-07	305	16311
8.475e-07	303	16366
8.5e-07	301	16415
8.525e-07	301	16470
8.55e-07	298	16530
8.575e-07	296	16583
8.6e-07	301	16651
8.625e-07	305	16722
8.65e-07	302	16780
8.675e-07	303	16834
8.7e-07	297	16878
8.725e-07	309	16943
8.75e-07	305	17001
8.775e-07	307	17074
8.8e-07	304	17141
8.825e-07	307	17191
8.85e-07	304	17253
8.875e-07	303	17303
8.9e-07	310	17364
8.925e-07	308	17420
8.95e-07	300	17469
8.975e-07	302	17542
9e-07	303	17592
9.025e-07	303	17633
9.05e-07	304	17676
9.075e-07	305	17748
9.1e-07	300	17808
9.125e-07	304	17869
9.15e-07	298	17913
9.175e-07	298	17966
9.2e-07	302	18027
9.225e-07	302	18085
9.25e-07	301	18135
9.275e-07	306	18196
9.3e-07	298	18243
9.325e-07	303	18300
9.35e-07	302	18349
9.375e-07	296	18397
9.4e-07	303	18466
9.425e-07	301	18536
9.45e-07	305	18600
9.475e-07	301	18651
9.5e-07	299	18705
9.525e-07	301	18766
9.55e-07	303	18822
9.575e-07	297	18884
9.6e-07	301	18937
9.625e-07	301	19003
9.65e-07	298	19058
9.675e-07	298	19113
9.7e-07	297	19176
9.725e-07	300	19232
9.75e-07	297	19288
9.775e-07	304	19360
9.8e-07	302	19410
9.825e-07	300	19488
9.85e-07	299	19548
9.875e-07	295	19610
9.9e-07	292	19660
9.925e-07	299	19711
9.95e-07	300	19774
9.975e-07	301	19830
1e-06	300	19893
1.0025e-06	302	19956
1.005e-06	296	20012
1.0075e-06	299	20062
1.01e-06	296	20128
1.0125e-06	305	20196
1.015e-06	298	20266
1.0175e-06	295	20323
1.02e-06	296	20388
1.0225e-06	294	20442
1.025e-06	299	20513
1.0275e-06	297	20571
1.03e-06	301	20642
1.0325e-06	300	20707
1.035e-06	299	20756
1.0375e-06	301	20810
1.04e-06	297	20860
1.0425e-06	294	20909
1.045e-06	299	20963
1.0475e-06	298	21014
1.05e-06	299	21083
1.0525e-06	298	21143
1.055e-06	303	21206
1.0575e-06	303	21275
1.06e-06	302	21328
1.0625e-06	302	21398
1.065e-06	299	21448
1.0675e-06	300	21506
1.07e-06	299	21569
1.0725e-06	301	21628
1.075e-06	299	21682
1.0775e-06	300	21744
1.08e-06	306	21801
1.0825e-06	307	21851
1.085e-06	301	21919
1.0875e-06	301	21975
1.09e-06	299	22031
1.0925e-06	300	22085
1.095e-06	298	22148
1.0975e-06	299	22196
1.1e-06	303	22245
1.1025e-06	299	22296
1.105e-06	301	22370
1.1075e-06	304	22441
1.11e-06	298	22491
1.1125e-06	300	22555
1.115e-06	301	22625
1.1175e-06	299	22680
1.12e-06	306	22757
1.1225e-06	305	22820
1.125e-06	303	22875
1.1275e-06	306	22952
1.13e-06	305	23025
1.1325e-06	298	23076
1.135e-06	305	23143
1.1375e-06	305	23209
1.14e-06	305	23280
1.1425e-06	299	23330
1.145e-06	301	23394
1.1475e-06	308	23453
1.15e-06	309	23515
1.1525e-06	313	23588
1.155e-06	308	23639
1.1575e-06	309	23713
1.16e-06	304	23750
1.1625e-06	310	23812
1.165e-06	304	23875
1.1675e-06	305	23938
1.17e-06	307	23998
1.1725e-06	305	24061
1.175e-06	303	24120
1.1775e-06	309	24191
1.18e-06	304	24255
1.1825e-06	306	24312
1.185e-06	312	24390
1.1875e-06	305	24458
1.19e-06	308	24523
1.1925e-06	308	24574
1.195e-06	310	24661
1.1975e-06	306	24728
1.2e-06	306	24785
1.2025e-06	304	24843
1.205e-06	309	24911
1.2075e-06	304	24982
1.21e-06	308	25057
1.2125e-06	303	25118
1.215e-06	313	25186
1.2175e-06	301	25236
1.22e-06	303	25296
1.2225e-06	309	25357
1.225e-06	304	25421
1.2275e-06	303	25473
1.23e-06	306	25537
1.2325e-06	309	25607
1.235e-06	309	25658
1.2375e-06	308	25720
1.24e-06	302	25783
1.2425e-06	308	25860
1.245e-06	309	25925
1.2475e-06	301	25967
1.25e-06	307	26019
1.25e-06	307	26019
