#steps	727264892	time	0.00200009	seed	1640351804
#type 1~vac, 2~sia, 3~fia, 4~vac_fia, 5~sia_fia
#no direction~0;	111~1;	-111~2;	1 - 11~3;	11 - 1~4
#id	type	x	y	z	size1	size2	dir
284314	3	0	0.5	39.5	0	0	1	0	0
286418	3	52.5	100	24.5	0	0	1	0	0
287995	3	3	69.5	18.5	0	0	1	0	0
289150	3	1.5	37.5	12	0	0	1	0	0
289273	3	75.5	76	28.5	0	0	1	0	0
290020	3	48	27.5	21.5	0	0	1	0	0
290240	3	56.5	63	26.5	0	0	1	0	0
290500	3	56.5	25.5	22	0	0	1	0	0
290527	13	70.5	49	12.5	24	0	1	76	0
291384	3	47.5	58.5	12	0	0	1	0	0
292235	3	71.5	99.5	35	0	0	1	0	0
292375	3	92	76.5	21.5	0	0	1	0	0
292694	13	61.5	5.5	6	3	0	2	12	0
292823	13	36.5	94.5	20	3	0	3	12	0
293233	3	70.5	41.5	40	0	0	1	0	0
293307	3	12.5	13.5	27	0	0	1	0	0
293364	3	90.5	8	24.5	0	0	1	0	0
293786	3	79.5	37	15.5	0	0	1	0	0
294588	3	38.5	93.5	15	0	0	1	0	0
294797	3	25	44.5	22.5	0	0	1	0	0
294808	3	81.5	49	16.5	0	0	2	0	0
294814	3	69	63.5	26.5	0	0	1	0	0
294832	3	66.5	70.5	21	0	0	1	0	0
294834	13	48.5	61	17.5	4	0	3	16	0
294848	3	23	38.5	11.5	0	0	1	0	0
294862	3	78.5	49	13.5	0	0	1	0	0
295057	3	27.5	51.5	12	0	0	1	0	0
295084	3	60	87.5	20.5	0	0	1	0	0
295130	3	58	16.5	1.5	0	0	1	0	0
295404	3	34.5	25.5	16	0	0	1	0	0
295458	3	11.5	94	19.5	0	0	1	0	0
295710	13	79	71.5	15.5	29	0	3	88	0
295713	3	80	68.5	17.5	0	0	1	0	0
295885	13	81.5	7	9.5	5	0	2	20	0
295984	3	5.5	31	9.5	0	0	1	0	0
296256	13	34.5	92.5	6	1	0	1	8	0
296309	3	47.5	56	22.5	0	0	1	0	0
296482	3	34	11.5	22.5	0	0	1	0	0
296488	3	24.5	5	30.5	0	0	1	0	0
296524	3	93.5	17.5	22	0	0	1	0	0
296617	3	92.5	26	17.5	0	0	1	0	0
296718	3	23.5	79	0.5	0	0	1	0	0
296749	3	59	21.5	16.5	0	0	1	0	0
296800	3	86.5	70.5	28	0	0	3	0	0
296821	3	83.5	4	4.5	0	0	1	0	0
296823	3	90.5	18.5	18	0	0	2	0	0
296872	3	94.5	71.5	33	0	0	1	0	0
296878	3	31	85.5	9.5	0	0	1	0	0
296892	3	22	80.5	12.5	0	0	1	0	0
296922	3	84	59.5	13.5	0	0	1	0	0
296981	3	88.5	80.5	18	0	0	1	0	0
296985	3	91.5	78.5	31	0	0	1	0	0
296988	3	94.5	76.5	30	0	0	1	0	0
296995	3	83	78.5	15.5	0	0	1	0	0
296998	3	46	37.5	27.5	0	0	1	0	0
297091	3	66.5	98	13.5	0	0	1	0	0
297256	3	93.5	11	18.5	0	0	2	0	0
297290	3	3.5	85.5	12	0	0	1	0	0
297297	3	41.5	33	26.5	0	0	1	0	0
297306	13	76.5	2	28.5	1	0	2	4	0
297333	3	1	100.5	13.5	0	0	1	0	0
297347	3	21	75.5	15.5	0	0	1	0	0
297371	3	95.5	93.5	3	0	0	1	0	0
297456	3	0.5	31	18.5	0	0	2	0	0
297471	3	27.5	99.5	11	0	0	1	0	0
297505	3	86.5	62.5	23	0	0	1	0	0
297531	3	14.5	29.5	11	0	0	1	0	0
297540	3	0.5	27	19.5	0	0	1	0	0
297570	13	56.5	79	14.5	1	0	2	6	0
297571	3	78	28.5	15.5	0	0	1	0	0
297612	3	79.5	36.5	11	0	0	1	0	0
297614	13	75.5	37.5	6	1	0	2	7	0
