step	0	time	0	temperature	933	cpu_time	0.096
step	727264892	time	0.00200009	temperature	933	cpu_time	697.012
24	1	76
3	2	12
3	3	12
4	3	16
29	3	88
5	2	20
1	1	8
1	2	4
1	2	6
1	2	7
9	2	33
3	2	13
63	2	176
142	2	354
26	2	81
41	2	120
15	4	50
28	2	88
90	1	240
1	2	5
2	2	10
122	2	310
4	2	15
4	3	14
160	3	392
20	1	65
24	1	77
62	3	173
3	2	14
103	2	268
18	2	60
2	2	10
11	2	38
64	1	179
34	1	105
53	1	152
1	2	5
8	2	30
43	1	128
45	5	128
14	3	47
3	3	12
72	1	197
58	2	164
17	1	58
5	2	21
188	2	450
40	1	119
10	2	36
114	3	291
23	2	73
225	2	527
80	2	216
101	2	263
1	1	5
47	2	136
39	1	116
71	1	195
277	2	630
6	2	24
16	2	54
247	4	568
5	2	21
1	2	6
20	2	64
3	2	11
17	2	58
30	2	92
67	1	186
50	3	142
16	2	53
183	4	438
211	4	495
106	1	277
137	3	342
18	2	59
1	2	3
37	1	111
13	2	46
19	1	64
113	1	291
33	3	100
119	2	304
11	2	40
121	4	307
61	2	170
165	5	400
64	5	174
193	2	460
14	2	48
12	1	43
21	1	70
137	1	345
70	5	189
7	2	26
218	3	510
175	3	422
7	1	27
146	3	361
154	3	379
134	3	335
91	1	241
144	2	359
50	1	144
63	1	176
3	2	12
235	1	547
1	2	4
222	2	519
47	1	137
101	3	263
1	2	5
9	2	32
45	1	133
105	1	273
210	3	495
87	1	232
34	1	104
3	2	12
108	1	280
24	1	77
31	2	95
8	2	29
32	1	100
23	1	74
15	2	52
21	2	68
16	2	55
9	2	33
3	2	12
21	2	69
8	2	29
172	2	417
85	2	227
143	2	355
116	2	297
211	1	499
72	3	195
64	3	178
190	3	454
270	3	614
150	2	370
222	2	520
118	5	299
68	2	188
9	2	34
24	1	77
1	2	7
179	4	431
28	2	86
7	1	28
29	2	90
16	2	55
189	2	452
49	1	142
150	4	368
194	2	464
258	3	591
237	2	551
